T_id,Sig,Unit
41628,F_unit,中国人民解放军陆军指挥学院
169,C_unit,中国人民解放军陆军炮兵防空兵学院
127,C_unit,中国人民解放军陆军装甲兵学院
43603,C_unit,中国人民解放军陆军防化学院
59084,C_unit,中国人民警察大学
22355,C_unit,中国传媒大学
51616,C_unit,中国兵器科学研究院(中国北方车辆研究所)
79538,S_unit,中国兵器科学研究院(西南自动化研究所)
1075,C_unit,中国农业大学
43564,C_unit,中国农业科学院
42547,C_unit,中国刑事警察学院
8073,C_unit,中国北方车辆研究所
33403,C_unit,中国医科大学
30251,C_unit,中国原子能科学研究院
49372,F_unit,中国商飞上海飞机设计研究院
37501,F_unit,中国国防科技信息中心
375,C_unit,中国地质大学(北京)
615,C_unit,中国地质大学(武汉)
59208,S_unit,中国地质大学长城学院
10658,C_unit,中国地震局兰州地震研究所
19130,C_unit,中国地震局地球物理研究所
30588,S_unit,中国地震局地质研究所
19131,C_unit,中国地震局地震研究所
22563,C_unit,中国地震局地震预测研究所
63219,F_unit,中国地震局工程力学研究所
7209,C_unit,中国工程物理研究院
77208,S_unit,中国工程物理研究院(北京应用物理与计算数学研究所)
73113,F_unit,中国工程物理研究院(四川计算机应用研究所)
10655,C_unit,中国建筑材料科学研究总院
2827,C_unit,中国政法大学
59756,C_unit,中国林业科学研究院
74807,C_unit,中国核动力研究设计院
8668,C_unit,中国民用航空飞行学院
80,C_unit,中国民航大学
2253,C_unit,中国气象科学研究院
1464,C_unit,中国海洋大学
77776,C_unit,中国环境科学研究院
4587,C_unit,中国电力科学研究院
66309,C_unit,中国电子科技集团公司电子科学研究院
8424,C_unit,中国石油勘探开发研究院
1080,C_unit,中国石油大学(北京)
584,C_unit,中国石油大学(华东)
67,C_unit,中国矿业大学
1105,C_unit,中国矿业大学(北京)
1624,C_unit,中国矿业大学(徐州)
43563,C_unit,中国社会科学院大学
19020,C_unit,中国科学技术信息研究所
145,C_unit,中国科学技术大学
2707,C_unit,中国科学院
21023,C_unit,中国科学院上海光学精密机械研究所
22035,C_unit,中国科学院上海天文台
18999,C_unit,中国科学院上海应用物理研究所
9513,C_unit,中国科学院上海微系统与信息技术研究所
19990,C_unit,中国科学院上海技术物理研究所
29218,F_unit,中国科学院上海有机化学研究所
19000,C_unit,中国科学院上海生命科学研究院
8473,C_unit,中国科学院上海硅酸盐研究所
19018,C_unit,中国科学院上海高等研究院
8218,C_unit,中国科学院信息工程研究所
677,C_unit,中国科学院光电技术研究所
8485,C_unit,中国科学院光电研究院
41046,F_unit,中国科学院力学研究所
8146,C_unit,中国科学院化学研究所
33350,C_unit,中国科学院北京基因组研究所
8220,C_unit,中国科学院半导体研究所
22021,C_unit,中国科学院南京地理与湖泊研究所
40369,C_unit,中国科学院南京天文光学技术研究所
22790,S_unit,中国科学院南海海洋研究所
7825,S_unit,中国科学院合肥物质科学研究院
8130,C_unit,中国科学院国家授时中心
40300,F_unit,中国科学院国家空间科学中心
45373,S_unit,中国科学院地理科学与资源研究所
42384,C_unit,中国科学院地质与地球物理研究所
30245,C_unit,中国科学院声学研究所
22340,C_unit,中国科学院声学研究所东海研究站
3454,C_unit,中国科学院大学
80594,C_unit,中国科学院大学杭州高等研究院
42819,S_unit,中国科学院大气物理研究所
8160,C_unit,中国科学院大连化学物理研究所
41699,F_unit,中国科学院工程热物理研究所
40099,F_unit,中国科学院微电子研究所
8500,C_unit,中国科学院成都山地灾害与环境研究所
19016,C_unit,中国科学院成都计算机应用研究所
628,C_unit,中国科学院数学与系统科学研究院
362,C_unit,中国科学院植物研究所
10617,C_unit,中国科学院武汉岩土力学研究所
9512,C_unit,中国科学院武汉物理与数学研究所
676,C_unit,中国科学院沈阳自动化研究所
35945,C_unit,中国科学院沈阳计算技术研究所
37443,S_unit,中国科学院测量与地球物理研究所
46909,S_unit,中国科学院渗流流体力学研究所
40405,F_unit,中国科学院理论物理研究所
1273,C_unit,中国科学院电子所
47067,F_unit,中国科学院福建物质结构研究所
8570,S_unit,中国科学院科技政策与管理科学研究所
44829,F_unit,中国科学院空间应用工程与技术中心
475,C_unit,中国科学院紫金山天文台
524,C_unit,中国科学院网络信息中心
2258,C_unit,中国科学院自动化研究所
5169,C_unit,中国科学院西安光学精密机械研究所
7074,C_unit,中国科学院计算技术研究所
1658,C_unit,中国科学院计算机网络信息中心
8183,C_unit,中国科学院软件研究所
19798,S_unit,中国科学院近代物理研究所
104,C_unit,中国科学院遗传与发育生物学研究所农业资源研究中心
4572,C_unit,中国科学院金属研究所
5102,C_unit,中国科学院长春光学精密机械与物理研究所
3271,C_unit,中国科学院青海盐湖研究所
1386,S_unit,中国科学院高能物理研究所
52360,F_unit,中国空气动力研究与发展中心
9525,C_unit,中国空间技术研究院
10638,C_unit,中国空间技术研究院510所
777,C_unit,中国航天二院
7867,C_unit,中国航天员科研训练中心
23166,C_unit,中国航天科工集团公司061基地
19069,C_unit,中国航天科工集团公司第三研究院
77319,F_unit,中国航天科工集团公司第三研究院(33所)
57615,F_unit,中国航天科工集团公司第三研究院(35所)
21847,F_unit,中国航天科工集团公司第三研究院(8358所)
92658,F_unit,中国航天科工集团公司第三研究院(8359所)
39158,F_unit,中国航天科工集团公司第三研究院(第三总体设计部)
1271,C_unit,中国航天科工集团公司第二研究院
41568,S_unit,中国航天科工集团公司第二研究院(17所)
49220,F_unit,中国航天科工集团公司第二研究院(206所)
79103,S_unit,中国航天科工集团公司第二研究院(207所)
49218,F_unit,中国航天科工集团公司第二研究院(23所)
41570,F_unit,中国航天科工集团公司第二研究院(25所)
51230,F_unit,中国航天科工集团公司第二研究院(706所)
